school,specialization
si quan luc quan 1,"['quan su co so', 'quan su co so']"
si quan luc quan 2,['quan su co so']
si quan phao binh,['chuyen nganh']
si ri shi qing bao wai yu zhuan men xue xiao,['office']
siast canada,['quan tri kinh doanh quoc te']
sinh vien hutech,"['phuc vu nha hang', 'chuyen nganh', 'qtkd']"
skt ssu,['truyen thong da phuong tien']
skyline school,['c3']
so canh sat pccc da nang,['pccc&cnch']
soc trang teachers ' training college,['cntt']
sofitel plaza hanoi,['service industry']
softech da nang,['lap trinh vien']
sonadezi college of technology and management,['manager']
soongsil university,['business administration']
south china university of technology,['international economy and trade']
southern cross university,['administrative business']
southern new hamsphire university,['economics - finance']
southwest jiaotong university,['chuyen nganh']
southwest texas state,['tam ly']
spa linh chi,['tham my']
spkt,['cntt']
spkthy,['chuyen nganh']
sri krishna college of engineering and technology,['chuyen nganh']
stanford graduate school of business,['executive development program']
sthc,['du lich']
sthc saigontourist hospitality college,"['batender', 'batender', 'hotel management', 'chuyen nganh', 'hotel, restaurant & tourism management\\r', 'hotel management', 'hotel management']"
sthc saigontourist hospitality college zai ji zhe,['du lich']
stu,['graphic design']
su pham,['chuyen nganh']
su pham ca mau,['cong nghe']
su pham ki thuat vinh long,['co khi che tao']
su pham ky thuat,['ky thuat']
su pham ky thuat hcm,"['dien tu truyen thong', 'dien tu cong nghe truyen thong', 'dien dien tu']"
su pham thai nguyen,['su pham lich su']
super junior,['chuyen nganh']
t/c mau giao nha tre ha noi,['mam non']
ta,['fa']
ta quang buu,['cap3']
tafe south australia,['it']
tai chinh hai quan,"['xuat nhap khau', 'kinh doanh thuong mai']"
tai chinh marketing,"['marketing tong hop', 'marketing', 'quan tri kinh doanh', 'quan tri kinh doanh']"
tai chinh marketting,['ke toan']
tai chinh qtkd,['ke toan tong hop']
tai chinh quan tri kinh doanh,['ke toan']
tai nguyen moi truong hcm,['cong nghe thong tin']
taiwan,['thai tradition massage']
tam ly h,['tam ly hoc phat trien - kt tc']
tampere university of applied sciences,['international business']
tan phu,['trung hoc co so']
tan viet,['nha hang-ks']
tay do,['ngon ngu anh']
tay nguyen university,"['cu nhan van', 'chuyen nganh']"
tc bach khoa sai gon,['duoc si']
tc bcvt cntt 1,['ki thuat dai tram']
tc duoc ha noi,['duoc si']
tc khach san du lich saigontourist,['quan ly va kinh doanh khach san']
tc kinh te cong nghe nguyen binh khiem,['ke toan']
tc kinh te ki thuat dak lak,['ke toan doanh nghiep']
tc kinh te ky thuat,['ky thuat may tinh']
tc kt nhan van nam sai gon,['cong nghe thong tin']
tc mien tay can tho,['duoc si']
tc nghe ht,['co khi che tao']
tc quan y 1,['y sy da khoa']
tc quan y i,['y si da khoa']
tc su pham mau giao nha tre ha noi,['giao vien mam non']
tc van hoa nghe thuat,"['su pham, my thuat']"
tccn ky thuat nghiep vu nam sai gon,"['ky thuat che bien mon an', 'ky thuat che bien mon an']"
tcktkt ha giang,['luat']
tcn duc hoa,['may']
tcn ki thuat cong nghe hung vuong,['thiet ke do hoa']
tcn quang ngai,['dien nhiet']
tcntt tan tien,['dien cong nghiep']
tcth dong nam a,"['duoc sy', 'tai chinh _ngan hang']"
tcth dong nan a,['duo si']
tcxd hcm,['thiet ke kien truc']
tcy bach mai,['dieu duong']
teloman,['bao mau']
ten lo man,['hoc sinh']
th ban cong dong da,['pho thong']
th ham tan,['thu ngan']
th tan tien truong thcs tan tien truong thpt tan thong hoi,['lop 12']
thang long,"['toan', 'trung capkha']"
thang long aptech,['lap trinh vien']
thang long university,"['finance & banking', 'social work', 'chuyen nganh', 'jap.']"
thanh da,['khu trung']
thanh do,['dien tu vien thong']
thanh my tay,['khong co']
that le loi tan ky,['lao dong pho thong']
thb phu hiep,['7/12']
thcn che tao may,['co khi']
thcs,"['kinh doanh online', 'vc', 'tu van & ban hang', 'pho thong', '10/12']"
thcs an loc b,['gioi mon toan']
thcs an nhon,['thpt']
thcs bach dang,['chuyen nganh']
thcs binh an,['hoc sinh']
thcs binh son,['hoc chu']
thcs binh tri dong,['kinh doanh']
thcs chau phong,['khong']
thcs chau van lem,['buon ban kinh doanhkha1']
thcs chu dien,['hoc sinh']
thcs da phuoc,['khong']
thcs dai an 1,['khongkhoong']
thcs dang tran con,['nhiep anh']
thcs dong da,['thcs']
thcs dong den,['chua co chuyen nganh']
thcs dong ho 1,['my pham']
thcs go den confessions,['chuyen nganh']
thcs hai boi,['chuyen nganh']
thcs hau giang,"['hoc tap', 'khong co']"
thcs ho duc thang,['chuyen nganh']
thcs hoa hung,['khong co']
thcs hoang van thu,['ban hang']
thcs hung yen,['ko co']
thcs kien hao,['hat']
thcs kim dong,['thcs']
thcs ky nam,['pho thong']
thcs lam son quan 6,['chuyen nganh']
thcs le hong phong yen bai,['cap 2']
thcs le minh xuan,['thcs le minh xuan']
thcs le quy don,['chuyen nganh']
thcs le van tam,['hoc sinh']
thcs loc thanh,['tin']
thcs long binh tan,['hoc co so']
thcs long dien dong b,['chinh quy']
thcs long hoa,['chua co chuyen nganh']
thcs luong the vinh,['hoc sinh']
thcs ly thanh tong,['chuyen nganh']
thcs ly thuong kiet,['toan anh van']
thcs minh luong,['hoc sinh']
thcs minh tan,['chuyen nganh']
thcs nam thai,['khong']
thcs nghia loc 1,['bao ve']
thcs nguyen du,"['hoc thcs', 'toan hoc']"
thcs nguyen ham ninh,['chuyen nganh']
thcs nguyen thi dinh,['khong co']
thcs nguyen van be,['chuyen nganh']
thcs nguyen van linh,['anh van']
thcs nguyen van nghi,"['thcs', '9/12']"
thcs nguyen van phu,['cong nghe thong tin']
thcs nguyen van phu quan 11 hcm,['chuyen nganh']
thcs phan van tri,['co so']
thcs phu dong,"['sua phan mem may tinh', 'sua phan mem may tinh']"
thcs phu hoa dong,['nghe pho thong']
thcs phu lam,['thpt thang 10']
thcs phu mau,['chuyen nganh']
thcs phuoc long,['khong co']
thcs quang co thanh,['cap 2']
thcs quang vinh,['bao ve']
thcs quoc thai,['khong co']
thcs quynh mai,['hoc sinh']
thcs son loc,['trung hoc']
thcs tam binh,['chuyen nganh']
thcs tan quy tay,['chuyen nganh']
thcs tang bat ho a,['hoc sinh']
thcs thai van lung,['hoc cap 2']
thcs thanh cong,['tat ca']
thcs thanh my loi,['khong co nganh nghe']
thcs thi tran,"['tieng anh, toan, online']"
thcs thong nhat,['marketing']
thcs thong tay hoi,['chuyen nganh']
thcs thph cap ll lll hoa tien,['hs']
thcs thpt di linh,['trung hoc 9']
thcs thpt hoa lu,['hoc pho thong']
thcs thpt the duc the thao nguyen thi dinb,['phu lam']
thcs thpt tri duc,['quan ly']
thcs tra binh,['trung hoc']
thcs tran dang ninh,['lich su']
thcs tran danh ninh,['thcs']
thcs tran quoc toan,['khong co']
thcs trung hoa,"['k co', 'tin hoc']"
thcs truong cong dinh,['hoc sinh']
thcs truong tho,['hoc tap']
thcs vinh hung,['tot nghiep 12/12']
thcs vo ninh,['ve tranh']
thcs vo truong toan,['phuc vu']
thcs xuan thoi thuong,['dien vien']
thcs xuy xa,['khong co']
thcscaasm son,['dtddtrung binh']
thdl tran khat chan,['hoc sinh']
the australian national university,['environmental management and development']
the centre for assistance and development of movie talens,['cameraman']
the college of finance and customs,"['business administration', 'bank & finance', 'chuyen nganh', 'international business']"
the college of foreign economic relations,['business english']
the duc the thao,['y sinh hoc']
the kuban state university,['kinh te the gioi']
the national economics university,['business administration']
the sword art online university,['chuyen nganh']
the university of arizona,['finance & entrepreneurship']
the university of greenwich,['computer sceince']
thhpt nguyen chi thanh,['khong co']
thiet ke do hoa,['truong trung cap nghe ky thuat cong nghe hung vuong']
thiet ke thoi trang quoc thao,['thiet ke thoi trang']
thieu sinh quan,['thieu sinh quan']
thkt nhan van thuy san 2,['co dien lanh']
thkt phu lam,['co khi sua chua oto']
thnv du lich khach san saigontourist,['quan tri nha hang']
thomas jefferson high school,['business']
thong ke ke toan trung uong 2,['thong ke']
thph,['thpt']
thph dan lap do luong2,['lao dong pho thongldpt']
thph dien chau 5,['cap 3']
thph tran phu,['hoc sinh']
thpp ngo gia tu,['toan']
thps so 1 sapa,['ad']
thpt,"['thpt', 'cap 3', 'thpt', 'thpt', 'thpt', 'thpt', 'thtp', 'quan ly chi tieu', 'k', 'tan binh', 'thpt', 'bac kien xiong', 'thpt']"
thpt an lac,['chinh quy']
thpt an ninh,['tot nghiep 12']
thpt an thi mot thoi de nho,['chuyen nganh']
thpt ba chuc,['chuyen nganh']
thpt ba diem,"['chuyen nganh', 'khong- ho']"
thpt ba dinh nga son,['hieu truong dep trai']
thpt ba gia,['thpt ba gia']
thpt bac binh,['chuyen nganh']
thpt bac kien xuong,['khoa hoc tu nhien']
thpt bac thang long,['chuyen nganh']
thpt ben luc,['van hoa']
thpt ben tam,['khoa hoc xa hoi']
thpt bim son,['cap 3']
thpt binh chanh,['chuyen nganh']
thpt binh hung hoa,['van hoa']
thpt binh minh,"['trung hoc pho thong', 'trung hoc pho thongk']"
thpt binh phu,"['hoc sinh', 'hoc sinh', 'hoc sinh', 'hoc sinh']"
thpt binh phuc nhat,['may']
thpt binh son song lo vinh phuc,['chuyen nganh']
thpt bui thi xuan,['thpt']
thpt bui thi xuan da lat,['chuyen nganh']
thpt cai tac,['thpt']
thpt cam my,['the thao']
thpt cam pha,['chuyen nganh']
thpt cao lanh,['nhan vien ban hang']
thpt cao loc,['van su dia']
thpt cap 2 3 phu thinh,['chuyen nganh']
thpt chau phong,"['tot nghiep pho thong', 'dien']"
thpt chau thanh 1,['hoc sinh']
thpt chu van an,"['cap 3', '12/12', 'chuyen nganh', '12/12']"
thpt chu van an can duoc,['chuyen nganh']
thpt chu van an van yen yen bai,['hoc sinh thpt']
thpt chuc dong,"['khong co', 'thpt']"
thpt chuyen ha long,['chuyen van']
thpt chuyen ha tinh,"['chuyen toan tin', 'chuyen van']"
thpt chuyen khoa hoc tu nhien,['chuyen toan']
thpt chuyen le hong phong nam dinh,"['chuyen anh', 'ly']"
thpt chuyen le quy don ninh thuan,['cap 3']
thpt chuyen luong van chanh,['chinh quy']
thpt chuyen nguyen hue,['ngon ngu nga']
thpt chuyen nguyen thien thanh,['tieng anh']
thpt chuyen thoai ngoc hau,['it']
thpt chuyen tran hung dao,['chuyen ly']
thpt co do,"['hoc khoi a, b']"
thpt co loa dong anh ha noi,['chuyen nganh']
thpt cu chi,['k']
thpt cu chinh lan,['thpt']
thpt cumgar,['student']
thpt da huoai,['12/12']
thpt da phuoc,['chuyen nganh']
thpt dai an,"['hoc sinh tot nghiep', 'khong hoc']"
thpt dan lap le loi,"['chuyen nganh', 'chuyen nganh']"
thpt dan lap nguyen binh khiem,['chuyen nganh']
thpt dan lap thanh binh,['hoc sinh']
thpt dao duy anh,['trung hoc']
thpt dau tieng,['trung hoc pho thong']
thpt di an,['thpt']
thpt dien hong,['chuyen nganh']
thpt dinh hoa,['chuyen nganh']
thpt dinh tien hoang,['chuyen nganh']
thpt dl ly thai to ha noi,['chuyen nganh']
thpt dl nhan van,['cap 3']
thpt dl van hien,['van hoa du lich']
thpt do luong 2,['van hoa']
thpt do luong 3,['van hoa']
thpt doan ket,"['12/12', 'sinh hoc', 'chuyen nganh']"
thpt doan ket hai ba trung,['hoc sinh']
thpt doc binh kieu,['hoc sinh']
thpt dong phu,['chuyen nganh']
thpt dtnt tinh hoa binh,['van hoc']
thpt duc hanh,['khong co']
thpt duc tho,['hoa hoc']
thpt duong van duong,['pho thong']
thpt duong xa,['thpt']
thpt duy tan,"['chua co nghanh nao', 'cap 3']"
thpt earok,['hoc sinh cap 3']
thpt einstein,['thpt']
thpt ernst thalmann,['trung hoc']
thpt gia dinh,"['hoc sinh', 'hoc sinh', 'chuyen hoa', 'tot nghiep', 'chuyen nganh']"
thpt gia vien a,['hoc thpt']
thpt giong ong to,['quan tri kinh doanh']
thpt go cong dong,"['hoc sinh', 'chuyen nganh']"
thpt go den,['chuyen nganh']
thpt go vap,"['12/12', 'chuyen nganh']"
thpt ha dong,['cap iii']
thpt ha quang,['lop 12']
thpt hac dich,['trungg cap duoc']
thpt hai ba trung,['chuyen nganh']
thpt ham yen tuyen quang,['12/12hoohswjxdh']
thpt han thuyen,"['van hoabo', 'trung hoc', 'chuyen nganh', 'chuyen nganh']"
thpt hau loc 1,['hoc sinh']
thpt hermanngmeiner,['thpt']
thpt hien da,['chuyen nganh']
thpt hoa an,['karaoke']
thpt hoa binh,"['hoc sinh', 'quan tri kinh doanh']"
thpt hoa da,['khoa hoc may tinh']
thpt hoang cau,['ko co']
thpt hung vuong,"['kinh te', 'tot nghiep 12']"
thpt huong can,['hoc sinh']
thpt huu thanh,['trung hoc pho thong']
thpt huynh van sam,"['hoc sinh', 'chuyen nganh']"
thpt kien an,['english']
thpt kien tuong long an,['chuyen nganh']
thpt kim boi,['khong']
thpt kim lien,['khoi a1: toan ly anh']
thpt kim thanh,['hoc sinh pho thong da tot nghiep']
thpt kim xuyen,['chuyen nganh']
thpt krong ana,['chuyen nganh']
thpt krong bong,['thiet ke do hoa']
thpt krong no,['khong co']
thpt krongana,['khong co']
thpt lak,['hoc pho thong']
thpt lang chanh,"['dien dan dung', 'chuyen nganh']"
thpt le hoai don,['thpt']
thpt le hoan,['hoc sinh']
thpt le hong phong,['vat ly']
thpt le hong phong tx bim son,['anime/manga']
thpt le loi,"['chuyen nganh', 'khoi d']"
thpt le minh xuan,"['hoc sinh', 'ko', 'chuyen nganh']"
thpt le ngoc han,['hoc sinh']
thpt le quy don,['chuyen nganh']
thpt le quy don daklak,['thpt']
thpt le quy don dong da,['chuyen nganh']
thpt le thanh ton,"['d', 'pho thong', 'khong', 'tot nghiep 12/12']"
thpt le thanh ton q7,['tot nghiep lop 12']
thpt le thi hong gam,['hoc sinh']
thpt le thi rieng,['hoc sinh']
thpt le trung dinh,['cap 3']
thpt le van tam,['thpt']
thpt le van thin,['ko co ko c']
thpt lien ha,['toan li hoa']
thpt loc thai,['chuyen nganh']
thpt loc thanh,['dien']
thpt long binh,['hoc sinh']
thpt long chau sa,['trung hoc pho thong']
thpt long kien,['thpt']
thpt long thanh,['chuyen nganh']
thpt long xuyen,['da tot nghiep thpt']
thpt luc ngan so 1,['chuyen nganh']
thpt luong the vinh,"['trung hoc pho thong', 'thpt']"
thpt luong van can,"['12/12', 'chua co chuyen nganh']"
thpt luu dinh chat,['chuyen nganh']
thpt luu huu phuoc,['thpt']
thpt ly nhan tong,"['toan van anh', 'chuyen nganh']"
thpt ly thai to,"['cong nghe', 'chuyen nganh']"
thpt ly thuong kiet,['tot nghiep']
thpt ly tu trong,"['cap 3', 'pho thong', 'thpt ly tu trong', 'thpt ly tu trong']"
thpt ly tu trong thach ha ha tinh,['chuyen nganh']
thpt m v lomonoxop,['hoc tap']
thpt mac dinh chi,"['hoc sinh', 'thpt', 'thpt']"
thpt mac dinh chi quan 6,['chuyen nganh']
thpt marie curie,['.coa ban']
thpt muong la,['van hoa']
thpt nam dan 1,['chuyen nganh']
thpt nam dan 2,['chuyen nganh']
thpt nam ky khoi nghia,"['cap 3', '12/12chinh quy']"
thpt nam truc,['chuyen nganh']
thpt nang khieu the duc the thao,['van dong vien bong chuyen']
thpt nghe phu lam,['cong nghe thong tin']
thpt ngo gia tu,"['hoc sinh', 'chua biet']"
thpt ngo si lien,['chuyen nganh']
thpt ngo thi nham,['toan']
thpt nguyen an ninh,"['tieng anh co ban.', 'toan']"
thpt nguyen binh khiem,['khoi d']
thpt nguyen binh khiem ba ria,['chuyen nganh']
thpt nguyen binh khiem vinh bao hai phong,['tieng anh']
thpt nguyen chi thanh,['hoc pho thong']
thpt nguyen du,"['cong nghe thong tin', 'chuyen nganh']"
thpt nguyen duc,['chuyen nganh']
thpt nguyen gia thieu,['toan ly anh']
thpt nguyen hien,['cap 3']
thpt nguyen hieu tu,['van phong']
thpt nguyen hue,"['van - anh', 'thpt']"
thpt nguyen hue dak doa gia lai,['chuyen nganh']
thpt nguyen hue quang tri,['chuyen nganh']
thpt nguyen hue yen bai,['cap 3']
thpt nguyen huu canh,['hoc sinh']
thpt nguyen huu tho,"['cong nghe ky thuat kien truc va cong trinh xay dung', '.', 'muc in bao bi', 'chuyen nganh']"
thpt nguyen huu tien,['cap 3']
thpt nguyen khuyen,"['pho thong', 'pho thong', 'chuyen nganh']"
thpt nguyen ngoc thang,['khong co']
thpt nguyen tat thanh,"['hoc sinh', 'ke toan']"
thpt nguyen tat thanh q 6,['chuyen nganh']
thpt nguyen tat thanh quan 6,['khong co']
thpt nguyen thai binh,['trung hoc']
thpt nguyen thai binh lam dong,['tot nghiep cap 3']
thpt nguyen thi minh khai,"['khoi a', 'kinh te']"
thpt nguyen thuong hien,"['ko', 'ko', 'ko', 'ko', 'ko', 'ko']"
thpt nguyen trai,"['hs', 'trung hoc pho thong', 'bang cap3']"
thpt nguyen trai an khe,['chuyen nganh']
thpt nguyen trai ba dinh,['chuyen nganh']
thpt nguyen trai ninh thuan,['chuyen nganh']
thpt nguyen trai q4 sai gon,['chuyen nganh']
thpt nguyen tri,['bang cap 3']
thpt nguyen trung truc,"['chuong trinh hoc pho thong', 'hoc sinh', 'thpt', 'khoi kinh te', 'chuyen nganh']"
thpt nguyen trung truc phu my binh dinh,['chuyen nganh']
thpt nguyen van linh,"['am nhac', 'hoc sinh']"
thpt nguyen viet hong,['pho thong']
thpt nguyen viet khai ca mau,['chuyen nganh']
thpt nguyen viet xuan,['trung hoc']
thpt ninh chau,['quan ly']
thpt ninh hai,['12/12']
thpt pham cong binh,['khong']
thpt pham hong thai,['khoi ngoai ngu']
thpt pham quang tham,['chuyen nganh']
thpt pham thanh trung,['pho thong']
thpt pham van dong krong ana daklak,['chuyen nganh']
thpt phan boi chau,['tot nghiep']
thpt phan chu trinh,"['hoc sinh', 'y duoc']"
thpt phan chu trinh cujut dak nong,['chuyen nganh']
thpt phan dang luu,['dien']
thpt phan dang luu hcm,['chuyen nganh']
thpt phan dinh phung,['thpt']
thpt phan huy chu dong da,"['thpt', 'da khoa']"
thpt phan liem,['lop 12']
thpt phan ngoc hien,"['nghe', 'trung hoc pho thong']"
thpt phu dien,['chuyen nganh']
thpt phu hung,['hoc sinh']
thpt phu my 1,['trung hoc']
thpt phu nhuan,"['truong trung cap nghe viet uc', 'hoc sinh']"
thpt phu tan,['xa hoi']
thpt phu thinh,['chuyen nganh']
thpt phu xuan,['khong chuyen']
thpt phung hung,['khong']
thpt quang trung,"['t', 'chuyen nganh']"
thpt quang trung dong da,['ban tu nhien']
thpt quang trung thuy nguyen hai phong,['chuyen nganh']
thpt que vo 2,['thpt']
thpt quoc oai,['hoc sinh ban a01 chuyen d01']
thpt quynh luu 3,"['toan hoa sinh', 'thpt']"
thpt so 1 phu my,['chuyen nganh']
thpt so 1 son tinh quang ngai,['thpt']
thpt so 2 an nhon,['thpt']
thpt so 2 duc pho,['chuyen nganh']
thpt so 2 van ban,['chuyen nganh']
thpt son dong so 1,['chuyen nganh']
thpt son tay,['chuyen hoa']
thpt suong nguyet anh,"['pho thong', 'tieng anh']"
thpt ta quang buu,"['du lich', 'thpt', 'khong']"
thpt tam nong,['12/12']
thpt tan binh,['pho thong']
thpt tan chau,['12/12']
thpt tan hiep,['thpttrung']
thpt tan hiep kien giang,['chuyen nganh']
thpt tan ky 3,['pho thong']
thpt tan lap dan phuong ha noi,['cao dang gtvt twll ba vi_ha noi']
thpt tan phu,['hoc sinh']
thpt tan phuoc,['may cong nghiep']
thpt tan thong hoi,['chuyen nganh']
thpt tan tuc huyen binh chanh,['chuyen nganh']
thpt tan yen so 1,['chuyen nganh']
thpt tay ho,['thpt']
thpt tay son,"['thpt', 'thpt', 'hoc sinh']"
thpt teloman,['thpt']
thpt tenloman,['thpt']
thpt thai phien da nang,['chuyen nganh']
thpt than uyen lai chau,['lai xe hang c']
thpt thanh binh,['chuyen nganh']
thpt thanh binh 2,"['cap 3', 'chuyen nganh']"
thpt thanh chuong 3,['van hoa']
thpt thanh da,['khong']
thpt thanh dong,['lao dong pho thong']
thpt thanh liem b,['cap 3']
thpt thanh mien,['thpt']
thpt thanh oai b,['co ban']
thpt thap muoi,"['thoi trang', 'tot nghiep pho thong', 'cap 3']"
thpt thi xa cao bang,['chuyen nganh']
thpt thi xa nghia lo,['chuyen nganh']
thpt thu duc,"['hoa hoc , tin hoc, toan hoc , van hoc', 'khong co']"
thpt thu khoa nghia,['chuyen nganh']
thpt thu thiem,"['chuyen nganh', 'chuyen nganh']"
thpt thu xa tu nghia quang ngai,['chuyen nganh']
thpt thuan hoa,['chuyen nganh']
thpt thuan thanh 1,['cap 3']
thpt tieu la,['tot nghiep thpt']
thpt tra cu tra vinh,['cong nghe thong tin']
thpt tram chim,['lich su']
thpt tran dai nghia,['hoc pho thong']
thpt tran hung dao,"['thpt', 'hoc sinh', 'khong co', 'chua ra truong']"
thpt tran hung dao ha dong,['truong thpt tran hung dao - ha dong']
thpt tran huu trang,"['khong', 'ptth']"
thpt tran khai nguyen,['da tot nghiep thpt']
thpt tran nguyen han,['noi that']
thpt tran nhat duat yen binh yen bai,['chuyen nganh']
thpt tran phu,['van']
thpt tran phu da lat,['chuyen nganh']
thpt tran phu hoan kiem,"['tu nhien', 'thpt']"
thpt tran phu quang nam,['chuyen nganh']
thpt tran quoc tuan nam dinh,['chuyen nganh']
thpt tran van giau,"['pho thong', 'tu nhien']"
thpt tran van thoi,['chuyen nganh']
thpt trieu phong,['nghe thuat']
thpt trieu son 2,['chuyen nganh']
thpt trinh hoai duc,['cong nghe thong tin']
thpt truc ninh a,['chuyen nganh']
thpt trung phu,['cap 3']
thpt trung van,"['thpt trung van', 'kinh doanh']"
thpt trung vuong,"['12/12', 'hoc sinh']"
thpt truong dinh,['pho thong']
thpt tt truong vinh ky,['cap iii']
thpt tu doan,['hoc sinh']
thpt tu ky,['english literature']
thpt tuy phuoc,['tai xe lai xe']
thpt ung hoa b ha noi,"['chuyen nganh', 'chuyen nganh']"
thpt van chan,['giao duc pho thong']
thpt van xuan,['thpt van xuan']
thpt vien an,['chuyen nganh']
thpt viet nam ba lan,['am nhac']
thpt vinh binh,['thpr vinh binh']
thpt vinh hai,['thpt']
thpt vinh trach,['det']
thpt vo truong toan,"['cap 3', 'nghe tin hoc loai gioi', 'cap 3', 'chuyen nganh']"
thpt vo van tan,['pho thong']
thpt xuan dinh,['hoc tap']
thpt xuan my,['hoc sinh']
thpt xuan tho,['khong co']
thpt xuan truong b,['chuyen nganh']
thpt xuyen moc,['chuyen nganh']
thpt yen dinh 2,['tot nghiep thpt']
thpt yen dinh 3,['chuyen nganh']
thpt yen hung,['hoc sinh']
thpt yen phong 1,['khoi a']
thpt yen thanh 2,['chuyen nganh']
thpt yen tho y yen nam dinh,['ko co']
thptcam ly,['chuyen nganh']
thpthuong can,['khong co']
thptnghison,['phothongtrunghoc']
thpttanky3,['pt']
thpttt phan chau trinh,['ngon ngu hoc']
thptttkl,['nha hang khach san']
thu dau mot,['quan ly cong nghiep']
thu duc high school,['pho thong']
thu duc vocational college,['industrial electricity']
thuc hien nghia vu quan su,"['y ta don vi, chien si nuoi quan']"
thuong mai,['thuong mai quoc te']
thuy loi,"['thuy dien', 'cong nghe thong tin']"
tien bo,"['lai xe', 'lai xe hang d']"
tien thanh,['tai xe']
tieng anh giao tiep lepoca,['chuyen nganh']
tieng han sejong,['tieng han']
tieu hoc nguyen thai hoc yen bai,['truong cap 1']
tieu hoc tan long,['dien may']
tieu hoc thcs quang trung dong da ha noi,['hanh chinh hoc']
tin hoc truong dai hoc khoa hoc tu nhien,['do hoa da truyen thong']
tlu thang long university,['chuyen nganh']
to chuc giao duc hoa ky,['chuyen nganh thiet ke do hoa']
toeic,['toeic 700 diem']
toi da hoc lam viec tai truong cong nhan ky thuat bach dang hai phong,['co khi che tao may va chuyen nganh tau thuy']
tokyo galaxy nihongo gakkou,['tieng nhat']
ton duc thang,"['moi truong', 'chuyen nganh ke toan', 'quan tri kinh doanh', 'tai chinh ngan hang', 'cong nghe sinh hoc', 'quan tri kinh doanh quoc te', 'quan he lao dong', 'du lich', 'cntt', 'quan tri kinh doanh quoc te', 'quan tri kinh doanh', 'ke toan', 'chuyen nganh']"
ton duc thang university,"['cong nghe thong tin', 'ke toan', 'chemical engineering', 'quan ly du lich, khach san & nha hang', 'kinh doanh quoc te', 'kinh doanh quoc te', 'kinh doanh quoc te', 'kinh doanh quoc te', 'kinh doanh quoc te', 'kinh doanh quoc te', 'kinh doanh quoc te', 'kinh doanh quoc te', 'biotechnology', 'cu nhan', 'hospitality management', 'chuyen nganh', 'cnsh', 'chuyen nganh', 'chuyen nganh', 'international business', 'chuyen nganh', 'cong nghe sinh hoc', 'english', 'chuyen nganh']"
ton duc thang university vietnam,"['biotechnology', 'viet nam hoc-van hoa du lich', 'du lich lu hanh']"
tong dai ket noi trai tim,['ky nang gia tiep.xu ly tinh huong']
tong hop ha noi,['chuyen nganh']
tot nghiep cap 3,"['nhan vien', 'tot nghiep cap 3']"
tot nghiep thcs,['thpt bc gia rai bac lieu']
tot nghiep thpt,"['tot nghiep thpt', 'thpt', 'pho thong']"
tot nghiep thpt yen vien,['hoc pho thong']
tot nghiep trung hoc,['han xi']
tra vinh,['quan tri kinh doanh']
tra vinh university,"['chuyen nganh', 'chuyen nganh', 'chuyen nganh']"
trade union university,['labor law and business law']
trai giam cay cay tay ninh,['truong ban quan ly pham nhan']
tran boi co,['hoc sinh']
tran hung dao,"['marketing', 'the thaochay']"
tran huu trang,['kinh doanh']
tran khai nguyen,"['lop 12', 'trung hoc']"
tran quang khai,['k co']
tran quoc tuan,['dang nghiz']
trinh,['tho son']
troy,['business administration']
troy international university,['business administration']
troy university,"['quan tri kinh doanh', 'computer science', 'business administration', 'quan tri kinh doanh']"
troy university hcm,['chuyen nganh']
troy university school of international education hanoi university of science and technology hanoi,"['bachelor of global business administration, troy university (usa)']"
troy university vietnam campus,['acedemic upgrading knowledge']
trubg cap kt du lich hcm,['quan tri kinh doanh']
trubg tam tin hoc dai hoc khoa hoc tu nhien,['thiet ke do hoa']
truman state university,['communication']
trung cao dang nghe giao thong van tai thanh hoa,['lai xe']
trung cap,"['7/12', 'co khi', 'tin hoc', 'nganh dien', 'du lich khach san']"
trung cap anh sang,"['duoc si', 'duoc si trung hoc']"
trung cap au viet,"['duoc si', 'ke toan', 'duoc si trung hoc', 'duoc sy', 'dieu duong da khoa', 'y si y hoc co truyen', 'tai chinh ngan hang', 'thiet ke do hoa']"
trung cap bach khoa binh duong,"['y sy da khoa', 'duoc sy']"
trung cap bach khoa ha noi,['ke toan']
trung cap bach khoa hcm,['cong nghe thong tin']
trung cap bach khoa sai gon,"['y sy da khoa', 'quan tri mang may tinh']"
trung cap bach nghe,['tai chinh ngan hang']
trung cap bach nghe thanh hoa,['su pham mam non']
trung cap ban cong kinh te ky thuat bac thang long,['ked toan']
trung cap ben thanh,"['su pham mam non', 'quan tri kinh doanh', 'giao duc mam non', 'duoc si, dieu duong', 'cong nghe may']"
trung cap canh sat nhan dan,['trung cap canh sat']
trung cap cau duong day nghe binh doan 12,['ky su']
trung cap chuyen nghiep hong ha,['dien dan dung va cong nghiep']
trung cap chuyen nghiep mai linh,['bao tri sua chua thiet bi co khi']
trung cap cong nghe ha noi,['nghiep vu huong dan vien du lich']
trung cap cong nghe kinh te doi ngoai,['ke toan']
trung cap cong nghe ky thuat cuu long,['ky thuat vien xet nghiem']
trung cap cong nghe luong thuc thuc pham,['kinh te - quan tri kinh doanh']
trung cap cong nghe quan tri dong do,['van thu luu tru']
trung cap cong nghe thu duc,['ke toan']
trung cap cong nghe thu y hcm,['thu y']
trung cap cong nghiep quoc phong,['ke toan']
trung cap cuu long,['xet nghiem']
trung cap da nang,['nha hang - khach san']
